borough,neighborhood,latitude,longitude,studio_2021,br_1_2021,br_2_2021,no_of_school,no_of_hospital,no_of_restaurant,no_of_bank,criminal_rate,population_2020
Bronx,Allerton,40.865787878,-73.8593186322,,,,5,0,13,0, 2704,34623
Staten Island,Annadale,40.5381141747,-74.1785486617,,,,10,0,23,2, 173,10133
Staten Island,Arden Heights,40.5492858228,-74.1858867458,,,,6,0,7,1, 238,15341
Staten Island,Arlington,40.6353250991,-74.1651042024,,,,4,1,12,0, 959,11164
Staten Island,Arrochar,40.5963125713,-74.0671236323,,,,14,1,33,1, 433,9064
Queens,Arverne,40.5891439437,-73.7919923314,,,,9,0,15,1, 1033,13789
Queens,Astoria,40.7685085934,-73.915653743,,,,50,4,50,42, 3061,38673
Queens,Astoria Heights,40.770317393,-73.8946799627,,,,5,1,41,5, 675,25112
Queens,Auburndale,40.761729549,-73.7917624373,,,,43,3,48,17, 642,36182
Brooklyn,Bath Beach,40.5995187028,-73.9987522144,,,,32,5,35,7, 1832,33070
Manhattan,Battery Park City,40.7119319839,-74.0168693051,,,,32,11,43,38, 3336,26496
Brooklyn,Bay Ridge,40.625801065,-74.0306206935,,,,50,2,50,28, 1783,86779
Queens,Bay Terrace,40.7828428062,-73.7768022262,,,,15,2,22,6, 215,11643
Staten Island,Bay Terrace,40.5539880086,-74.1391662218,,,,3,0,8,2, 239,3749
Bronx,Baychester,40.8668581073,-73.8357975981,,,,10,1,30,2, 1382,17245
Queens,Bayside,40.7660406328,-73.7742736307,,,,50,0,50,16, 688,35588
Queens,Bayswater,40.6113216913,-73.7659678145,,,,1,0,1,0, 400,29324
Bronx,Bedford Park,40.870185165,-73.8855121842,,,,44,2,25,5, 3912,55521
Brooklyn,Bedford Stuyvesant,40.6872316077,-73.9417848869,,,,48,3,50,8, 4740,158534
Queens,Beechhurst,40.7927814036,-73.8043645172,,,,8,0,23,4, 246,104934
Manhattan,Beekman/Sutton Place,40.753385,-73.964809,,,,12,0,10,2, 3201,14172
Queens,Bellaire,40.7330140403,-73.7388919891,,,,15,2,44,4, 922,24576
Queens,Belle Harbor,40.5761555654,-73.8540175039,,,,7,0,2,1, 149,6033
Queens,Bellerose,40.7285731818,-73.7201281483,,,,24,0,50,3, 383,26566
Bronx,Belmont,40.8572771007,-73.8884519613,,,,17,2,16,2, 6228,35825
Brooklyn,Bensonhurst,40.611008902,-73.9951799838,,,,50,3,50,12, 2049,104934
Brooklyn,Bergen Beach,40.6151495505,-73.8985563363,,,,1,0,9,0, 92,15651
Queens,Blissville,40.7372507169,-73.9324423526,,,,8,0,25,1, 809,32348
Staten Island,Bloomfield,40.6057786845,-74.1872563838,,,,8,0,3,3, 73,16342
Brooklyn,Boerum Hill,40.6856829121,-73.9837482412,,,,6,0,2,0, 5921,20484
Brooklyn,Borough Park,40.6331305128,-73.9904982304,,,,45,10,43,20, 1126,69
Manhattan,Bowery,40.721704,-73.991557,,,,0,0,0,0, 10091,1693
Queens,Breezy Point,40.5574012885,-73.9255119699,,,,1,0,4,0, 25,6033
Queens,Briarwood,40.7109354725,-73.8117482246,,,,44,3,47,10, 1574,19646
Brooklyn,Brighton Beach,40.5768250657,-73.9650944879,,,,49,6,50,9, 2004,33568
Queens,Broad Channel,40.6030265835,-73.8200548911,,,,1,0,13,1, 73,6033
Manhattan,Broadway Corridor,40.812433,-73.960534,,,,1,0,11,0, 4538,110458
Brooklyn,Broadway Junction,40.6778610477,-73.9033168485,,,,23,3,28,3, 3637,5327
Bronx,Bronxdale,40.8527229763,-73.8617257756,,,,3,1,9,5, 2048,75714
Brooklyn,Brooklyn Heights,40.6958637227,-73.993782255,,,,50,9,50,40, 3119,25092
Brooklyn,Brooklyn Navy Yard,40.702087,-73.972412,,,,19,0,10,0, 1742,5
Queens,Brookville,40.6600032273,-73.7517531073,,,,5,0,1,0, 620,11551
Brooklyn,Brownsville,40.6639499434,-73.9102353618,,,,50,6,50,2, 6060,60470
Staten Island,Bulls Head,40.6095918004,-74.1594094866,,,,31,0,41,7, 348,10717
Brooklyn,Bushwick,40.6981161102,-73.9252579749,,,,50,5,50,9, 4915,120741
Staten Island,Butler Manor,40.5060816535,-74.2295035026,,,,6,0,1,0, 106,1835
Queens,Cambria Heights,40.6927746392,-73.7352687371,,,,18,0,46,2, 635,19081
Brooklyn,Canarsie,40.635564328,-73.9020926978,,,,50,2,50,6, 1577,89932
Manhattan,Carnegie Hill,40.7826825671,-73.9532564684,,,,20,1,15,1, 4740,31205
Brooklyn,Carroll Gardens,40.6805402311,-73.9946537283,,,,37,0,25,1, 1943,14791
Bronx,Castle Hill,40.819014377,-73.8480272958,,,,5,0,32,1, 1348,41420
Staten Island,Castleton Corners,40.6133359377,-74.1191805853,,,,12,1,50,10, 363,15729
Manhattan,Central Harlem,40.8159760674,-73.943211126,,,,24,7,28,14, 9038,136351
Manhattan,Central Park,40.765215,-73.979667,,,,34,1,50,13, 609,129
Staten Island,Charleston,40.5305314828,-74.232157759,,,,1,0,36,1, 132,8044
Manhattan,Chelsea,40.7440347067,-74.0031163347,,,,50,13,48,50, 5339,69741
Staten Island,Chelsea,40.5947260275,-74.1895604552,,,,1,0,14,0, 160,3006
Manhattan,Chinatown,40.7156184223,-73.9942793626,,,,50,11,50,50, 8126,42556
Bronx,City Island,40.8472467049,-73.7864884527,,,,6,0,48,1, 141,9820
Brooklyn,City Line,40.6785699573,-73.8679759808,,,,4,0,25,3, 3000,22779
Manhattan,Civic Center,40.7152289205,-74.0054152987,,,,5,0,8,2, 6267,12695
Bronx,Claremont Village,40.8314283416,-73.9011990339,,,,28,0,34,1, 6267,12276
Bronx,Clason Point,40.80655112,-73.8541441619,,,,5,0,11,0, 294,18648
Queens,Clearview,40.779985,-73.796978,,,,50,9,50,38, 2072,11643
Staten Island,Clifton,40.619178452,-74.0726424455,,,,0,0,5,0, 1240,6342
Manhattan,Clinton,40.7591008915,-73.9961193631,,,,48,9,50,45, 8392,46648
Brooklyn,Clinton Hill,40.6932294219,-73.9678430622,,,,26,0,19,0, 2691,28647
Bronx,Co-op City,40.874294193,-73.8299391081,,,,32,2,50,13, 1470,37369
Brooklyn,Cobble Hill,40.6879197225,-73.9985613922,,,,30,0,29,9, 1872,14791
Queens,College Point,40.7849027493,-73.843045289,,,,12,1,50,9, 1156,33625
Staten Island,Concord,40.6044731897,-74.0840236474,,,,0,0,1,0, 824,8316
Bronx,Concourse,40.8342838073,-73.9155894177,,,,27,1,25,3, 7832,34693
Bronx,Concourse Village,40.8247804908,-73.9158465276,,,,23,0,20,3, 7720,34693
Brooklyn,Coney Island,40.5742925647,-73.9886829582,,,,19,1,50,5, 2237,24758
